,"New label","Old label"
"1","Career start: Corporation","careerprofile_maclean_cat: Karrierestart i de største virksomheder"
"2","Career start: Enterprise","careerprofile_maclean_cat: Karrierestart i mindre virksomheder"
"3","Career foundation: Finance and Accounting","careerfoundation_maclean_cat: Finans og bogholderi"
"4","Career foundation: Engineering, Science and Technical","careerfoundation_maclean_cat: Ingeniør, teknik og videnskab"
"5","Career foundation: Management and HR","careerfoundation_maclean_cat: Management, ledelse og HR"
"6","Career foundation: Marketing og Media","careerfoundation_maclean_cat: Marketing og salg"
"7","Career foundation: State, University, Law and Organisations","careerfoundation_maclean_cat: Statsadministration, organisationer, jura og akademia"
"8","Education to executive: 13-19 years","years_between_edu_dir_cat: 13-19 år om at blive direktør"
"9","Education to executive: 20+ years","years_between_edu_dir_cat: 20+ år om at blive direktør"
"10","Education to executive: 7-12 years","years_between_edu_dir_cat: 7-12 år om at blive direktør"
"11","Education to executive: Less than 6 years","years_between_edu_dir_cat: Under 6 år om at blive direktør"
"12","Years in corp. until CEO: 16-25","time_in_corp_before_ceo_cat: 16-25 år i i firma før topchef"
"13","Years in corp. until CEO: 26+","time_in_corp_before_ceo_cat: 26+ år i firma før topchef"
"14","Years in corp. until CEO: 3-6","time_in_corp_before_ceo_cat: 3-6 år i firma før topchef"
"15","Years in corp. until CEO: 7-15","time_in_corp_before_ceo_cat: 7-15 år i firma før topchef"
"16","Years in corp. until CEO: Hired as CEO","time_in_corp_before_ceo_cat: Kommer til firma som topchef"
"17","Age as CEO: 50+","age_as_ceo_cat: Direktør 50+ år"
"18","Age as CEO: 40-44","age_as_ceo_cat: Direktør: 40-44 år"
"19","Age as CEO: 45-49","age_as_ceo_cat: Direktør: 45-49 år"
"20","Age as CEO: Less than 40","age_as_ceo_cat: Direktør: under 40 år"
"21","Career changes: 1-3","career_changes_cat2: 1-3 karriereskift"
"22","Career changes: 4+ ","career_changes_cat2: 4+ karriereskift"
"23","Career changes: None","career_changes_cat2: Ingen karriereskift"
"24","MBA: None","mba:  Ingen MBA"
"25","MBA: Regular","mba: Almindelig MBA"
"26","MBA: Prestigious","mba: Prestigefuld MBA"
"27","Abroad: 0 years","abroad: Udlandet: 0 år"
"28","Abroad:  7+ years","abroad: Udlandet: 7+ år"
"29","Abroad: 1-7 years","abroad: Udlandet:1-7"
"30","Business diploma","hd: HD"
"31","No business diploma","hd: Ingen HD"
