"","New label","Old label"
"1","careerprofile_maclean_cat: Karrierestart i de største virksomheder","careerprofile_maclean_cat: Karrierestart i de største virksomheder"
"2","careerprofile_maclean_cat: Karrierestart i mindre virksomheder","careerprofile_maclean_cat: Karrierestart i mindre virksomheder"
"3","careerfoundation_maclean_cat: Finans og bogholderi","careerfoundation_maclean_cat: Finans og bogholderi"
"4","careerfoundation_maclean_cat: Ingeniør, teknik og videnskab","careerfoundation_maclean_cat: Ingeniør, teknik og videnskab"
"5","careerfoundation_maclean_cat: Management, ledelse og HR","careerfoundation_maclean_cat: Management, ledelse og HR"
"6","careerfoundation_maclean_cat: Marketing og salg","careerfoundation_maclean_cat: Marketing og salg"
"7","careerfoundation_maclean_cat: Statsadministration, organisationer, jura og akademia","careerfoundation_maclean_cat: Statsadministration, organisationer, jura og akademia"
"8","years_between_edu_dir_cat: 13-19 år om at blive direktør","years_between_edu_dir_cat: 13-19 år om at blive direktør"
"9","years_between_edu_dir_cat: 20+ år om at blive direktør","years_between_edu_dir_cat: 20+ år om at blive direktør"
"10","years_between_edu_dir_cat: 7-12 år om at blive direktør","years_between_edu_dir_cat: 7-12 år om at blive direktør"
"11","years_between_edu_dir_cat: Under 6 år om at blive direktør","years_between_edu_dir_cat: Under 6 år om at blive direktør"
"12","time_in_corp_before_ceo_cat: 16-25 år i i firma før topchef","time_in_corp_before_ceo_cat: 16-25 år i i firma før topchef"
"13","time_in_corp_before_ceo_cat: 26+ år i firma før topchef","time_in_corp_before_ceo_cat: 26+ år i firma før topchef"
"14","time_in_corp_before_ceo_cat: 3-6 år i firma før topchef","time_in_corp_before_ceo_cat: 3-6 år i firma før topchef"
"15","time_in_corp_before_ceo_cat: 7-15 år i firma før topchef","time_in_corp_before_ceo_cat: 7-15 år i firma før topchef"
"16","time_in_corp_before_ceo_cat: Kommer til firma som topchef","time_in_corp_before_ceo_cat: Kommer til firma som topchef"
"17","age_as_ceo_cat: Direktør: 40-44 år","age_as_ceo_cat: Direktør: 40-44 år"
"18","age_as_ceo_cat: Direktør: 45-49 år","age_as_ceo_cat: Direktør: 45-49 år"
"19","age_as_ceo_cat: Direktør 50+ år","age_as_ceo_cat: Direktør 50+ år"
"20","age_as_ceo_cat: Direktør: under 40 år","age_as_ceo_cat: Direktør: under 40 år"
"21","career_changes_cat2: 1-3 karriereskift","career_changes_cat2: 1-3 karriereskift"
"22","career_changes_cat2: 4+ karriereskift","career_changes_cat2: 4+ karriereskift"
"23","career_changes_cat2: Ingen karriereskift","career_changes_cat2: Ingen karriereskift"
"24","mba: Almindelig MBA","mba: Almindelig MBA"
